Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
1-of-13898,442608447,43440605.24,183,94263,267,84
2-of-13898,433768743,41732517.39,184,94849,269,85
3-of-13898,412521942,40754893.58,183,94585,270,87
4-of-13898,436791877,42762835.62,184,94386,269,86
5-of-13898,410285048,38053554.56,184,94601,271,87
6-of-13898,335948770,31874561.26,192,97716,291,98
7-of-13898,390260836,39851308.68,184,94766,273,88
8-of-13898,338204972,35296131.35,192,100095,285,93
9-of-13898,310502368,31731227.64,196,103032,293,97
10-of-13898,304592888,32313624.28,195,102614,292,96
11-of-13898,298373547,31602608.01,196,102911,293,97
12-of-13898,395436356,38588193.5,184,95528,272,88
13-of-13898,371600972,34247148.73,191,98945,281,90
14-of-13898,304911498,31853266.54,196,102996,293,97
15-of-13898,279642693,30117270.62,200,106756,297,97
16-of-13898,392329540,38486512.7,185,96080,274,89
17-of-13898,372121358,34654897.49,185,96142,275,90
18-of-13898,421935604,40428015.91,184,94904,270,86
19-of-13898,412848425,37678645.06,184,94905,270,86
20-of-13898,403628132,36657158.99,186,95239,275,89
21-of-13898,348198062,34650928.34,198,103715,289,91
22-of-13898,423445885,41332626.97,183,94425,269,86
23-of-13898,228958609,22252957.93,199,102290,308,109
24-of-13898,383523376,36119931.51,195,101943,284,89
25-of-13898,299663848,26973663.22,198,100914,300,102
26-of-13898,401662360,37853950.09,184,94812,275,91
27-of-13898,350378523,34232861.42,186,95426,282,96
28-of-13898,344435633,33549391.76,186,95500,283,97
29-of-13898,337481613,32842096.04,187,95719,286,100
30-of-13898,436484254,42707544.06,184,94456,270,86
31-of-13898,364427227,37468833.14,190,97715,283,93
32-of-13898,383350871,36079841.73,195,101972,284,89
33-of-13898,369283887,32289465.97,201,105062,293,91
34-of-13898,406073508,37644649.07,187,96714,275,88
35-of-13898,404912214,37634724.39,187,96738,275,88
36-of-13898,174034342,14559446.66,200,105094,320,119
37-of-13898,312643915,28290754.28,198,103944,295,97
38-of-13898,330803801,27569028.19,202,109429,298,96
39-of-13898,296653396,30921586.55,196,103056,294,98
40-of-13898,274801382,26760874.84,196,103317,297,100
41-of-13898,319514587,27825686.03,200,105404,296,95
42-of-13898,351028302,34958453.17,198,103700,289,91
43-of-13898,319318692,29852345.97,194,103250,292,97
44-of-13898,333044228,31317430.38,189,97094,289,100
45-of-13898,330135255,30969521.18,190,97117,291,101
46-of-13898,223134916,18396116.05,198,104535,309,111
47-of-13898,318772475,30510977.37,189,98768,285,95
48-of-13898,395188629,36702019.86,194,100875,284,90
49-of-13898,349735076,33193391.79,195,101603,288,93
50-of-13898,318660992,27574171.37,200,105407,296,96
51-of-13898,324403167,32677740.58,188,96922,287,99
52-of-13898,153231933,13228032.81,200,107034,323,124
53-of-13898,303122376,28819932.99,195,100616,295,101
54-of-13898,373683867,38222691.91,193,101566,282,89
55-of-13898,183232977,14661778.56,201,107739,316,116
56-of-13898,201682320,20527969.68,201,105073,310,109
57-of-13898,166293174,15836567.21,200,105748,320,120
58-of-13898,287267675,25746436.89,200,104089,299,100
59-of-13898,287061253,25720988.58,200,104158,299,100
60-of-13898,291893895,25267401.44,197,106066,297,100
61-of-13898,289318327,24932940.76,197,106096,298,101
62-of-13898,137461370,13105712.16,201,105713,331,130
63-of-13898,133335694,12846520.85,201,105734,331,131
64-of-13898,187631517,18267550.07,198,104779,314,116
65-of-13898,339996519,28798138.17,197,103070,292,95
66-of-13898,89696287,6180042.07,207,111056,340,133
